date,la_fuel_price,yr,mo,day
10/1/1996,0.81,1996,10,1
10/2/1996,0.805,1996,10,2
10/3/1996,0.825,1996,10,3
10/4/1996,0.825,1996,10,4
10/7/1996,0.825,1996,10,7
10/8/1996,0.843,1996,10,8
10/9/1996,0.853,1996,10,9
10/10/1996,0.835,1996,10,10
10/11/1996,0.835,1996,10,11
10/14/1996,0.835,1996,10,14
10/15/1996,0.835,1996,10,15
10/16/1996,0.835,1996,10,16
10/17/1996,0.785,1996,10,17
10/18/1996,0.78,1996,10,18
10/21/1996,0.78,1996,10,21
10/22/1996,0.805,1996,10,22
10/23/1996,0.805,1996,10,23
10/24/1996,0.808,1996,10,24
10/25/1996,0.825,1996,10,25
10/28/1996,0.825,1996,10,28
10/29/1996,0.825,1996,10,29
10/30/1996,0.803,1996,10,30
10/31/1996,0.79,1996,10,31
11/1/1996,0.79,1996,11,1
11/4/1996,0.78,1996,11,4
11/5/1996,0.775,1996,11,5
11/6/1996,0.765,1996,11,6
11/7/1996,0.765,1996,11,7
11/8/1996,0.745,1996,11,8
11/11/1996,0.748,1996,11,11
11/12/1996,0.738,1996,11,12
11/13/1996,0.745,1996,11,13
11/14/1996,0.735,1996,11,14
11/15/1996,0.725,1996,11,15
11/18/1996,0.725,1996,11,18
11/19/1996,0.715,1996,11,19
11/20/1996,0.705,1996,11,20
11/21/1996,0.715,1996,11,21
11/22/1996,0.715,1996,11,22
11/25/1996,0.733,1996,11,25
11/26/1996,0.733,1996,11,26
11/27/1996,0.735,1996,11,27
11/29/1996,0.735,1996,11,29
12/2/1996,0.735,1996,12,2
12/3/1996,0.745,1996,12,3
12/4/1996,0.745,1996,12,4
12/5/1996,0.745,1996,12,5
12/6/1996,0.745,1996,12,6
12/9/1996,0.735,1996,12,9
12/10/1996,0.71,1996,12,10
12/11/1996,0.725,1996,12,11
12/12/1996,0.71,1996,12,12
12/13/1996,0.71,1996,12,13
12/16/1996,0.73,1996,12,16
12/17/1996,0.733,1996,12,17
12/18/1996,0.735,1996,12,18
12/19/1996,0.745,1996,12,19
12/20/1996,0.745,1996,12,20
12/23/1996,0.735,1996,12,23
12/24/1996,0.735,1996,12,24
12/26/1996,0.735,1996,12,26
12/27/1996,0.74,1996,12,27
12/30/1996,0.748,1996,12,30
12/31/1996,0.748,1996,12,31
1/2/1997,0.755,1997,1,2
1/3/1997,0.755,1997,1,3
1/6/1997,0.758,1997,1,6
1/7/1997,0.76,1997,1,7
1/8/1997,0.755,1997,1,8
1/9/1997,0.755,1997,1,9
1/10/1997,0.748,1997,1,10
1/13/1997,0.743,1997,1,13
1/14/1997,0.74,1997,1,14
1/15/1997,0.733,1997,1,15
1/16/1997,0.748,1997,1,16
1/17/1997,0.748,1997,1,17
1/20/1997,0.745,1997,1,20
1/21/1997,0.74,1997,1,21
1/22/1997,0.74,1997,1,22
1/23/1997,0.77,1997,1,23
1/24/1997,0.775,1997,1,24
1/27/1997,0.798,1997,1,27
1/28/1997,0.833,1997,1,28
1/29/1997,0.845,1997,1,29
1/30/1997,0.885,1997,1,30
1/31/1997,0.873,1997,1,31
2/3/1997,0.86,1997,2,3
2/4/1997,0.86,1997,2,4
2/5/1997,0.86,1997,2,5
2/6/1997,0.843,1997,2,6
2/7/1997,0.835,1997,2,7
2/10/1997,0.825,1997,2,10
2/11/1997,0.805,1997,2,11
2/12/1997,0.805,1997,2,12
2/13/1997,0.795,1997,2,13
2/14/1997,0.795,1997,2,14
2/18/1997,0.79,1997,2,18
2/19/1997,0.775,1997,2,19
2/20/1997,0.775,1997,2,20
2/21/1997,0.743,1997,2,21
2/24/1997,0.733,1997,2,24
2/25/1997,0.715,1997,2,25
2/26/1997,0.715,1997,2,26
2/27/1997,0.73,1997,2,27
2/28/1997,0.73,1997,2,28
3/3/1997,0.71,1997,3,3
3/4/1997,0.73,1997,3,4
3/5/1997,0.725,1997,3,5
3/6/1997,0.735,1997,3,6
3/7/1997,0.733,1997,3,7
3/10/1997,0.73,1997,3,10
3/11/1997,0.73,1997,3,11
3/12/1997,0.738,1997,3,12
3/13/1997,0.755,1997,3,13
3/14/1997,0.755,1997,3,14
3/17/1997,0.755,1997,3,17
3/18/1997,0.755,1997,3,18
3/19/1997,0.765,1997,3,19
3/20/1997,0.76,1997,3,20
3/21/1997,0.765,1997,3,21
3/24/1997,0.77,1997,3,24
3/25/1997,0.77,1997,3,25
3/26/1997,0.77,1997,3,26
3/27/1997,0.785,1997,3,27
3/31/1997,0.79,1997,3,31
4/1/1997,0.78,1997,4,1
4/2/1997,0.775,1997,4,2
4/3/1997,0.775,1997,4,3
4/4/1997,0.765,1997,4,4
4/7/1997,0.755,1997,4,7
4/8/1997,0.755,1997,4,8
4/9/1997,0.765,1997,4,9
4/10/1997,0.765,1997,4,10
4/11/1997,0.745,1997,4,11
4/14/1997,0.75,1997,4,14
4/15/1997,0.75,1997,4,15
4/16/1997,0.725,1997,4,16
4/17/1997,0.72,1997,4,17
4/18/1997,0.733,1997,4,18
4/21/1997,0.718,1997,4,21
4/22/1997,0.715,1997,4,22
4/23/1997,0.71,1997,4,23
4/24/1997,0.705,1997,4,24
4/25/1997,0.705,1997,4,25
4/28/1997,0.68,1997,4,28
4/29/1997,0.655,1997,4,29
4/30/1997,0.635,1997,4,30
5/1/1997,0.635,1997,5,1
5/2/1997,0.6,1997,5,2
5/5/1997,0.6,1997,5,5
5/6/1997,0.595,1997,5,6
5/7/1997,0.595,1997,5,7
5/8/1997,0.605,1997,5,8
5/9/1997,0.61,1997,5,9
5/12/1997,0.625,1997,5,12
5/13/1997,0.615,1997,5,13
5/14/1997,0.605,1997,5,14
5/15/1997,0.61,1997,5,15
5/16/1997,0.63,1997,5,16
5/19/1997,0.613,1997,5,19
5/20/1997,0.63,1997,5,20
5/21/1997,0.63,1997,5,21
5/22/1997,0.65,1997,5,22
5/23/1997,0.655,1997,5,23
5/27/1997,0.648,1997,5,27
5/28/1997,0.645,1997,5,28
5/29/1997,0.65,1997,5,29
5/30/1997,0.645,1997,5,30
6/2/1997,0.645,1997,6,2
6/3/1997,0.635,1997,6,3
6/4/1997,0.635,1997,6,4
6/5/1997,0.605,1997,6,5
6/6/1997,0.605,1997,6,6
6/9/1997,0.58,1997,6,9
6/10/1997,0.58,1997,6,10
6/11/1997,0.57,1997,6,11
6/12/1997,0.57,1997,6,12
6/13/1997,0.58,1997,6,13
6/16/1997,0.58,1997,6,16
6/17/1997,0.585,1997,6,17
6/18/1997,0.575,1997,6,18
6/19/1997,0.575,1997,6,19
6/20/1997,0.575,1997,6,20
6/23/1997,0.58,1997,6,23
6/24/1997,0.578,1997,6,24
6/25/1997,0.585,1997,6,25
6/26/1997,0.575,1997,6,26
6/27/1997,0.575,1997,6,27
6/30/1997,0.575,1997,6,30
7/1/1997,0.579,1997,7,1
7/2/1997,0.57,1997,7,2
7/3/1997,0.57,1997,7,3
7/7/1997,0.558,1997,7,7
7/8/1997,0.558,1997,7,8
7/9/1997,0.545,1997,7,9
7/10/1997,0.545,1997,7,10
7/11/1997,0.555,1997,7,11
7/14/1997,0.555,1997,7,14
7/15/1997,0.565,1997,7,15
7/16/1997,0.565,1997,7,16
7/17/1997,0.565,1997,7,17
7/18/1997,0.56,1997,7,18
7/21/1997,0.565,1997,7,21
7/22/1997,0.56,1997,7,22
7/23/1997,0.558,1997,7,23
7/24/1997,0.563,1997,7,24
7/25/1997,0.568,1997,7,25
7/28/1997,0.585,1997,7,28
7/29/1997,0.595,1997,7,29
7/30/1997,0.635,1997,7,30
7/31/1997,0.635,1997,7,31
8/1/1997,0.65,1997,8,1
8/4/1997,0.655,1997,8,4
8/5/1997,0.675,1997,8,5
8/6/1997,0.68,1997,8,6
8/7/1997,0.68,1997,8,7
8/8/1997,0.665,1997,8,8
8/11/1997,0.67,1997,8,11
8/12/1997,0.67,1997,8,12
8/13/1997,0.68,1997,8,13
8/14/1997,0.685,1997,8,14
8/15/1997,0.69,1997,8,15
8/18/1997,0.705,1997,8,18
8/19/1997,0.71,1997,8,19
8/20/1997,0.715,1997,8,20
8/21/1997,0.685,1997,8,21
8/22/1997,0.685,1997,8,22
8/25/1997,0.675,1997,8,25
8/26/1997,0.665,1997,8,26
8/27/1997,0.663,1997,8,27
8/28/1997,0.685,1997,8,28
8/29/1997,0.68,1997,8,29
9/2/1997,0.685,1997,9,2
9/3/1997,0.66,1997,9,3
9/4/1997,0.66,1997,9,4
9/5/1997,0.66,1997,9,5
9/8/1997,0.643,1997,9,8
9/9/1997,0.643,1997,9,9
9/10/1997,0.635,1997,9,10
9/11/1997,0.625,1997,9,11
9/12/1997,0.638,1997,9,12
9/15/1997,0.635,1997,9,15
9/16/1997,0.64,1997,9,16
9/17/1997,0.635,1997,9,17
9/18/1997,0.63,1997,9,18
9/19/1997,0.625,1997,9,19
9/22/1997,0.645,1997,9,22
9/23/1997,0.645,1997,9,23
9/24/1997,0.643,1997,9,24
9/25/1997,0.65,1997,9,25
9/26/1997,0.65,1997,9,26
9/29/1997,0.653,1997,9,29
9/30/1997,0.653,1997,9,30
10/1/1997,0.645,1997,10,1
10/2/1997,0.65,1997,10,2
10/3/1997,0.655,1997,10,3
10/6/1997,0.645,1997,10,6
10/7/1997,0.655,1997,10,7
10/8/1997,0.655,1997,10,8
10/9/1997,0.655,1997,10,9
10/10/1997,0.655,1997,10,10
10/13/1997,0.658,1997,10,13
10/14/1997,0.65,1997,10,14
10/15/1997,0.665,1997,10,15
10/16/1997,0.675,1997,10,16
10/17/1997,0.688,1997,10,17
10/20/1997,0.69,1997,10,20
10/21/1997,0.69,1997,10,21
10/22/1997,0.7,1997,10,22
10/23/1997,0.7,1997,10,23
10/24/1997,0.708,1997,10,24
10/27/1997,0.715,1997,10,27
10/28/1997,0.738,1997,10,28
10/29/1997,0.75,1997,10,29
10/30/1997,0.74,1997,10,30
10/31/1997,0.765,1997,10,31
11/3/1997,0.77,1997,11,3
11/4/1997,0.765,1997,11,4
11/5/1997,0.76,1997,11,5
11/6/1997,0.755,1997,11,6
11/7/1997,0.755,1997,11,7
11/10/1997,0.74,1997,11,10
11/11/1997,0.735,1997,11,11
11/12/1997,0.72,1997,11,12
11/13/1997,0.715,1997,11,13
11/14/1997,0.7,1997,11,14
11/17/1997,0.695,1997,11,17
11/18/1997,0.695,1997,11,18
11/19/1997,0.685,1997,11,19
11/20/1997,0.67,1997,11,20
11/21/1997,0.63,1997,11,21
11/24/1997,0.625,1997,11,24
11/25/1997,0.62,1997,11,25
11/26/1997,0.615,1997,11,26
12/1/1997,0.595,1997,12,1
12/2/1997,0.595,1997,12,2
12/3/1997,0.605,1997,12,3
12/4/1997,0.605,1997,12,4
12/5/1997,0.6,1997,12,5
12/8/1997,0.615,1997,12,8
12/9/1997,0.625,1997,12,9
12/10/1997,0.605,1997,12,10
12/11/1997,0.58,1997,12,11
12/12/1997,0.585,1997,12,12
12/15/1997,0.588,1997,12,15
12/16/1997,0.59,1997,12,16
12/17/1997,0.585,1997,12,17
12/18/1997,0.6,1997,12,18
12/19/1997,0.605,1997,12,19
12/22/1997,0.6,1997,12,22
12/23/1997,0.6,1997,12,23
12/24/1997,0.605,1997,12,24
12/26/1997,0.605,1997,12,26
12/29/1997,0.595,1997,12,29
12/30/1997,0.613,1997,12,30
12/31/1997,0.62,1997,12,31
1/2/1998,0.62,1998,1,2
1/5/1998,0.595,1998,1,5
1/6/1998,0.6,1998,1,6
1/7/1998,0.585,1998,1,7
1/8/1998,0.585,1998,1,8
1/9/1998,0.58,1998,1,9
1/12/1998,0.58,1998,1,12
1/13/1998,0.575,1998,1,13
1/14/1998,0.565,1998,1,14
1/15/1998,0.57,1998,1,15
1/16/1998,0.563,1998,1,16
1/20/1998,0.555,1998,1,20
1/21/1998,0.555,1998,1,21
1/22/1998,0.535,1998,1,22
1/23/1998,0.54,1998,1,23
1/26/1998,0.525,1998,1,26
1/27/1998,0.53,1998,1,27
1/28/1998,0.535,1998,1,28
1/29/1998,0.565,1998,1,29
1/30/1998,0.555,1998,1,30
2/2/1998,0.54,1998,2,2
2/3/1998,0.53,1998,2,3
2/4/1998,0.525,1998,2,4
2/5/1998,0.515,1998,2,5
2/6/1998,0.515,1998,2,6
2/9/1998,0.515,1998,2,9
2/10/1998,0.503,1998,2,10
2/11/1998,0.5,1998,2,11
2/12/1998,0.495,1998,2,12
2/13/1998,0.495,1998,2,13
2/17/1998,0.495,1998,2,17
2/18/1998,0.49,1998,2,18
2/19/1998,0.485,1998,2,19
2/20/1998,0.485,1998,2,20
2/23/1998,0.485,1998,2,23
2/24/1998,0.475,1998,2,24
2/25/1998,0.475,1998,2,25
2/26/1998,0.47,1998,2,26
2/27/1998,0.455,1998,2,27
3/2/1998,0.455,1998,3,2
3/3/1998,0.448,1998,3,3
3/4/1998,0.423,1998,3,4
3/5/1998,0.443,1998,3,5
3/6/1998,0.435,1998,3,6
3/9/1998,0.425,1998,3,9
3/10/1998,0.445,1998,3,10
3/11/1998,0.43,1998,3,11
3/12/1998,0.435,1998,3,12
3/13/1998,0.445,1998,3,13
3/16/1998,0.408,1998,3,16
3/17/1998,0.408,1998,3,17
3/18/1998,0.408,1998,3,18
3/19/1998,0.475,1998,3,19
3/20/1998,0.465,1998,3,20
3/23/1998,0.535,1998,3,23
3/24/1998,0.558,1998,3,24
3/25/1998,0.57,1998,3,25
3/26/1998,0.59,1998,3,26
3/27/1998,0.585,1998,3,27
3/30/1998,0.578,1998,3,30
3/31/1998,0.57,1998,3,31
4/1/1998,0.568,1998,4,1
4/2/1998,0.56,1998,4,2
4/3/1998,0.545,1998,4,3
4/6/1998,0.535,1998,4,6
4/7/1998,0.535,1998,4,7
4/8/1998,0.535,1998,4,8
4/9/1998,0.523,1998,4,9
4/13/1998,0.52,1998,4,13
4/14/1998,0.523,1998,4,14
4/15/1998,0.525,1998,4,15
4/16/1998,0.538,1998,4,16
4/17/1998,0.545,1998,4,17
4/20/1998,0.545,1998,4,20
4/21/1998,0.55,1998,4,21
4/22/1998,0.56,1998,4,22
4/23/1998,0.545,1998,4,23
4/24/1998,0.555,1998,4,24
4/27/1998,0.57,1998,4,27
4/28/1998,0.605,1998,4,28
4/29/1998,0.61,1998,4,29
4/30/1998,0.605,1998,4,30
5/1/1998,0.6,1998,5,1
5/4/1998,0.6,1998,5,4
5/5/1998,0.575,1998,5,5
5/6/1998,0.565,1998,5,6
5/7/1998,0.545,1998,5,7
5/8/1998,0.545,1998,5,8
5/11/1998,0.535,1998,5,11
5/12/1998,0.525,1998,5,12
5/13/1998,0.52,1998,5,13
5/14/1998,0.52,1998,5,14
5/15/1998,0.52,1998,5,15
5/18/1998,0.495,1998,5,18
5/19/1998,0.485,1998,5,19
5/20/1998,0.485,1998,5,20
5/21/1998,0.485,1998,5,21
5/22/1998,0.485,1998,5,22
5/26/1998,0.475,1998,5,26
5/27/1998,0.47,1998,5,27
5/28/1998,0.465,1998,5,28
5/29/1998,0.465,1998,5,29
6/1/1998,0.458,1998,6,1
6/2/1998,0.45,1998,6,2
6/3/1998,0.455,1998,6,3
6/4/1998,0.465,1998,6,4
6/5/1998,0.475,1998,6,5
6/8/1998,0.47,1998,6,8
6/9/1998,0.475,1998,6,9
6/10/1998,0.47,1998,6,10
6/11/1998,0.47,1998,6,11
6/12/1998,0.47,1998,6,12
6/15/1998,0.475,1998,6,15
6/16/1998,0.48,1998,6,16
6/17/1998,0.475,1998,6,17
6/18/1998,0.47,1998,6,18
6/19/1998,0.47,1998,6,19
6/22/1998,0.473,1998,6,22
6/23/1998,0.474,1998,6,23
6/24/1998,0.475,1998,6,24
6/25/1998,0.47,1998,6,25
6/26/1998,0.47,1998,6,26
6/29/1998,0.47,1998,6,29
6/30/1998,0.47,1998,6,30
7/1/1998,0.47,1998,7,1
7/2/1998,0.47,1998,7,2
7/6/1998,0.47,1998,7,6
7/7/1998,0.475,1998,7,7
7/8/1998,0.475,1998,7,8
7/9/1998,0.465,1998,7,9
7/10/1998,0.47,1998,7,10
7/13/1998,0.465,1998,7,13
7/14/1998,0.465,1998,7,14
7/15/1998,0.465,1998,7,15
7/16/1998,0.465,1998,7,16
7/17/1998,0.465,1998,7,17
7/20/1998,0.465,1998,7,20
7/21/1998,0.47,1998,7,21
7/22/1998,0.47,1998,7,22
7/23/1998,0.47,1998,7,23
7/24/1998,0.475,1998,7,24
7/27/1998,0.475,1998,7,27
7/28/1998,0.473,1998,7,28
7/29/1998,0.473,1998,7,29
7/30/1998,0.48,1998,7,30
7/31/1998,0.478,1998,7,31
8/3/1998,0.48,1998,8,3
8/4/1998,0.478,1998,8,4
8/5/1998,0.48,1998,8,5
8/6/1998,0.48,1998,8,6
8/7/1998,0.48,1998,8,7
8/10/1998,0.475,1998,8,10
8/11/1998,0.465,1998,8,11
8/12/1998,0.465,1998,8,12
8/13/1998,0.465,1998,8,13
8/14/1998,0.455,1998,8,14
8/17/1998,0.455,1998,8,17
8/18/1998,0.45,1998,8,18
8/19/1998,0.45,1998,8,19
8/20/1998,0.45,1998,8,20
8/21/1998,0.453,1998,8,21
8/24/1998,0.45,1998,8,24
8/25/1998,0.46,1998,8,25
8/26/1998,0.465,1998,8,26
8/27/1998,0.455,1998,8,27
8/28/1998,0.455,1998,8,28
8/31/1998,0.448,1998,8,31
9/1/1998,0.455,1998,9,1
9/2/1998,0.455,1998,9,2
9/3/1998,0.46,1998,9,3
9/4/1998,0.47,1998,9,4
9/8/1998,0.47,1998,9,8
9/9/1998,0.475,1998,9,9
9/10/1998,0.495,1998,9,10
9/11/1998,0.505,1998,9,11
9/14/1998,0.505,1998,9,14
9/15/1998,0.495,1998,9,15
9/16/1998,0.485,1998,9,16
9/17/1998,0.485,1998,9,17
9/18/1998,0.49,1998,9,18
9/21/1998,0.485,1998,9,21
9/22/1998,0.49,1998,9,22
9/23/1998,0.485,1998,9,23
9/24/1998,0.485,1998,9,24
9/25/1998,0.485,1998,9,25
9/28/1998,0.485,1998,9,28
9/29/1998,0.485,1998,9,29
9/30/1998,0.485,1998,9,30
10/1/1998,0.475,1998,10,1
10/2/1998,0.465,1998,10,2
10/5/1998,0.465,1998,10,5
10/6/1998,0.465,1998,10,6
10/7/1998,0.463,1998,10,7
10/8/1998,0.465,1998,10,8
10/9/1998,0.465,1998,10,9
10/12/1998,0.465,1998,10,12
10/13/1998,0.465,1998,10,13
10/14/1998,0.465,1998,10,14
10/15/1998,0.465,1998,10,15
10/16/1998,0.475,1998,10,16
10/19/1998,0.475,1998,10,19
10/20/1998,0.473,1998,10,20
10/21/1998,0.48,1998,10,21
10/22/1998,0.475,1998,10,22
10/23/1998,0.475,1998,10,23
10/26/1998,0.493,1998,10,26
10/27/1998,0.495,1998,10,27
10/28/1998,0.495,1998,10,28
10/29/1998,0.525,1998,10,29
10/30/1998,0.53,1998,10,30
11/2/1998,0.535,1998,11,2
11/3/1998,0.515,1998,11,3
11/4/1998,0.515,1998,11,4
11/5/1998,0.485,1998,11,5
11/6/1998,0.485,1998,11,6
11/9/1998,0.475,1998,11,9
11/10/1998,0.475,1998,11,10
11/11/1998,0.47,1998,11,11
11/12/1998,0.475,1998,11,12
11/13/1998,0.46,1998,11,13
11/16/1998,0.455,1998,11,16
11/17/1998,0.453,1998,11,17
11/18/1998,0.44,1998,11,18
11/19/1998,0.45,1998,11,19
11/20/1998,0.45,1998,11,20
11/23/1998,0.44,1998,11,23
11/24/1998,0.44,1998,11,24
11/25/1998,0.435,1998,11,25
11/30/1998,0.405,1998,11,30
12/1/1998,0.405,1998,12,1
12/2/1998,0.39,1998,12,2
12/3/1998,0.395,1998,12,3
12/4/1998,0.375,1998,12,4
12/7/1998,0.375,1998,12,7
12/8/1998,0.385,1998,12,8
12/9/1998,0.385,1998,12,9
12/10/1998,0.385,1998,12,10
12/11/1998,0.395,1998,12,11
12/14/1998,0.395,1998,12,14
12/15/1998,0.395,1998,12,15
12/16/1998,0.395,1998,12,16
12/17/1998,0.385,1998,12,17
12/18/1998,0.385,1998,12,18
12/21/1998,0.385,1998,12,21
12/22/1998,0.385,1998,12,22
12/23/1998,0.395,1998,12,23
12/24/1998,0.395,1998,12,24
12/28/1998,0.395,1998,12,28
12/29/1998,0.405,1998,12,29
12/30/1998,0.395,1998,12,30
12/31/1998,0.395,1998,12,31
1/4/1999,0.4,1999,1,4
1/5/1999,0.395,1999,1,5
1/6/1999,0.405,1999,1,6
1/7/1999,0.42,1999,1,7
1/8/1999,0.428,1999,1,8
1/11/1999,0.435,1999,1,11
1/12/1999,0.44,1999,1,12
1/13/1999,0.438,1999,1,13
1/14/1999,0.44,1999,1,14
1/15/1999,0.44,1999,1,15
1/19/1999,0.425,1999,1,19
1/20/1999,0.415,1999,1,20
1/21/1999,0.415,1999,1,21
1/22/1999,0.41,1999,1,22
1/25/1999,0.405,1999,1,25
1/26/1999,0.4,1999,1,26
1/27/1999,0.403,1999,1,27
1/28/1999,0.403,1999,1,28
1/29/1999,0.403,1999,1,29
2/1/1999,0.395,1999,2,1
2/2/1999,0.4,1999,2,2
2/3/1999,0.4,1999,2,3
2/4/1999,0.4,1999,2,4
2/5/1999,0.395,1999,2,5
2/8/1999,0.395,1999,2,8
2/9/1999,0.385,1999,2,9
2/10/1999,0.375,1999,2,10
2/11/1999,0.375,1999,2,11
2/12/1999,0.38,1999,2,12
2/16/1999,0.375,1999,2,16
2/17/1999,0.375,1999,2,17
2/18/1999,0.38,1999,2,18
2/19/1999,0.385,1999,2,19
2/22/1999,0.395,1999,2,22
2/23/1999,0.4,1999,2,23
2/24/1999,0.405,1999,2,24
2/25/1999,0.405,1999,2,25
2/26/1999,0.4,1999,2,26
3/1/1999,0.426,1999,3,1
3/2/1999,0.48,1999,3,2
3/3/1999,0.485,1999,3,3
3/4/1999,0.503,1999,3,4
3/5/1999,0.52,1999,3,5
3/8/1999,0.605,1999,3,8
3/9/1999,0.62,1999,3,9
3/10/1999,0.62,1999,3,10
3/11/1999,0.6,1999,3,11
3/12/1999,0.595,1999,3,12
3/15/1999,0.585,1999,3,15
3/16/1999,0.57,1999,3,16
3/17/1999,0.565,1999,3,17
3/18/1999,0.585,1999,3,18
3/19/1999,0.64,1999,3,19
3/22/1999,0.645,1999,3,22
3/23/1999,0.65,1999,3,23
3/24/1999,0.645,1999,3,24
3/25/1999,0.665,1999,3,25
3/26/1999,0.71,1999,3,26
3/29/1999,0.7,1999,3,29
3/30/1999,0.705,1999,3,30
3/31/1999,0.705,1999,3,31
4/1/1999,0.71,1999,4,1
4/5/1999,0.695,1999,4,5
4/6/1999,0.68,1999,4,6
4/7/1999,0.685,1999,4,7
4/8/1999,0.63,1999,4,8
4/9/1999,0.64,1999,4,9
4/12/1999,0.63,1999,4,12
4/13/1999,0.58,1999,4,13
4/14/1999,0.535,1999,4,14
4/15/1999,0.545,1999,4,15
4/16/1999,0.535,1999,4,16
4/19/1999,0.535,1999,4,19
4/20/1999,0.53,1999,4,20
4/21/1999,0.533,1999,4,21
4/22/1999,0.568,1999,4,22
4/23/1999,0.568,1999,4,23
4/26/1999,0.56,1999,4,26
4/27/1999,0.54,1999,4,27
4/28/1999,0.545,1999,4,28
4/29/1999,0.555,1999,4,29
4/30/1999,0.555,1999,4,30
5/3/1999,0.558,1999,5,3
5/4/1999,0.558,1999,5,4
5/5/1999,0.555,1999,5,5
5/6/1999,0.543,1999,5,6
5/7/1999,0.525,1999,5,7
5/10/1999,0.533,1999,5,10
5/11/1999,0.533,1999,5,11
5/12/1999,0.525,1999,5,12
5/13/1999,0.533,1999,5,13
5/14/1999,0.525,1999,5,14
5/17/1999,0.525,1999,5,17
